31045 particles, 226 vloidsters
Zone# edgeflag CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
185 0 24325 3.346985e-01 1.333382e+01 16 1 1.333382e+01 16 1.237292 2.93e-01
186 0 24361 2.104210e-01 5.410714e+01 40 1 5.410714e+01 40 1.123788 5.29e-01
187 0 24380 1.202934e-01 5.963312e+02 532 1 5.963312e+02 532 1.491144 7.25e-02
188 0 24497 3.847298e-01 1.847536e+01 22 1 1.847536e+01 22 1.012175 9.40e-01
189 0 24715 2.836841e-01 4.103746e+01 48 1 4.103746e+01 48 1.284652 2.27e-01
190 0 24731 2.987912e-01 6.286319e+01 84 1 6.286319e+01 84 1.152327 4.57e-01
191 0 25131 1.209848e-01 1.989273e+02 188 2 2.746851e+02 254 1.958639 3.63e-03
192 0 25162 1.607811e-01 2.913808e+02 374 3 3.867708e+02 496 1.797291 1.10e-02
193 0 25206 1.876661e-01 3.263901e+01 31 1 3.263901e+01 31 1.128528 5.17e-01
194 0 25383 1.955961e-01 7.575780e+01 66 1 7.575780e+01 66 1.109835 5.69e-01
195 0 25460 2.933289e-01 3.930363e+01 47 1 3.930363e+01 47 1.005282 9.73e-01
196 0 25671 2.636182e-01 3.653606e+01 43 1 3.653606e+01 43 1.085034 6.47e-01
197 0 25701 1.871510e-01 1.135836e+02 104 1 1.135836e+02 104 1.420882 1.08e-01
198 0 25819 3.980097e-01 2.233938e+01 26 1 2.233938e+01 26 1.294610 2.16e-01
199 0 25874 3.250443e-01 3.711720e+01 51 1 3.711720e+01 51 1.075346 6.80e-01
200 0 26049 3.400900e-01 4.425966e+01 68 1 4.425966e+01 68 1.018101 9.11e-01
201 0 26106 3.898594e-01 7.996008e+00 13 1 7.996008e+00 13 1.045511 7.92e-01
202 0 26186 3.702355e-01 2.104801e+01 30 1 2.104801e+01 30 1.087771 6.37e-01
203 0 26220 3.222431e-01 2.426617e+01 20 1 2.426617e+01 20 1.135388 4.99e-01
204 0 26395 3.166848e-01 3.266527e+01 44 1 3.266527e+01 44 1.221031 3.19e-01
